com.alibaba.druid.filter.logging.LogFilter.resultSet_next(ms) :3
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :3
com.alibaba.druid.filter.FilterAdapter.resultSet_next(ms) :3
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :3
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.next(ms) :3
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :3
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValuesForSimpleResultMap(ms) :9
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValues(ms) :9
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSet(ms) :9
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSets(ms) :10
org.apache.ibatis.executor.statement.PreparedStatementHandler.query(ms) :47
org.apache.ibatis.executor.statement.RoutingStatementHandler.query(ms) :47
org.apache.ibatis.executor.SimpleExecutor.doQuery(ms) :51
org.apache.ibatis.executor.BaseExecutor.queryFromDatabase(ms) :51
org.apache.ibatis.executor.BaseExecutor.query(ms) :51
org.apache.ibatis.executor.CachingExecutor.query(ms) :51
org.apache.ibatis.executor.CachingExecutor.query(ms) :53
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :53
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :53
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :53
org.mybatis.spring.SqlSessionTemplate.selectList(ms) :53
org.apache.ibatis.binding.MapperMethod.executeForMany(ms) :53
org.apache.ibatis.binding.MapperMethod.execute(ms) :53
org.apache.ibatis.binding.MapperProxy.invoke(ms) :53
======================================>>>>com.zuosh.web.UserController.getAllUsers(ms) :54
com.alibaba.druid.filter.logging.Log4jFilter.statementLog(ms) :35
com.alibaba.druid.filter.logging.LogFilter.statementPrepareAfter(ms) :35
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :35
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :35
com.alibaba.druid.filter.FilterAdapter.connection_prepareStatement(ms) :35
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :36
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :36
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :36
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :36
org.apache.ibatis.executor.statement.PreparedStatementHandler.instantiateStatement(ms) :36
org.apache.ibatis.executor.statement.BaseStatementHandler.prepare(ms) :36
org.apache.ibatis.executor.statement.RoutingStatementHandler.prepare(ms) :36
org.apache.ibatis.executor.SimpleExecutor.prepareStatement(ms) :38
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :34
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :34
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :35
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :35
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :35
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :35
org.apache.ibatis.reflection.factory.DefaultObjectFactory.instantiateClass(ms) :2
org.apache.ibatis.reflection.factory.DefaultObjectFactory.create(ms) :2
org.apache.ibatis.reflection.factory.DefaultObjectFactory.create(ms) :2
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.createResultObject(ms) :2
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.createResultObject(ms) :3
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.applyPropertyMappings(ms) :4
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.getRowValue(ms) :7
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValuesForSimpleResultMap(ms) :12
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValues(ms) :12
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSet(ms) :12
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSets(ms) :13
org.apache.ibatis.executor.statement.PreparedStatementHandler.query(ms) :49
org.apache.ibatis.executor.statement.RoutingStatementHandler.query(ms) :49
org.apache.ibatis.executor.SimpleExecutor.doQuery(ms) :87
org.apache.ibatis.executor.BaseExecutor.queryFromDatabase(ms) :87
org.apache.ibatis.executor.BaseExecutor.query(ms) :87
org.apache.ibatis.executor.CachingExecutor.query(ms) :87
org.apache.ibatis.executor.CachingExecutor.query(ms) :88
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :88
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :88
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :88
org.mybatis.spring.SqlSessionTemplate.selectList(ms) :88
org.apache.ibatis.binding.MapperMethod.executeForMany(ms) :88
org.apache.ibatis.binding.MapperMethod.execute(ms) :88
org.apache.ibatis.binding.MapperProxy.invoke(ms) :88
======================================>>>>com.zuosh.web.UserController.getAllUsers(ms) :90
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :34
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :34
