com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :10
com.alibaba.druid.filter.logging.Log4jFilter.resultSetLog(ms) :25
com.alibaba.druid.filter.logging.LogFilter.resultSetOpenAfter(ms) :27
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :27
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :27
com.alibaba.druid.filter.FilterAdapter.statement_getResultSet(ms) :27
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :28
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :28
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.getResultSet(ms) :28
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :28
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :68
org.mybatis.spring.SqlSessionTemplate.selectOne(ms) :69
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :2
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :2
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :2
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :2
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :2
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :2
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :2
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :3
com.alibaba.druid.sql.SQLUtils.format(ms) :2
com.alibaba.druid.filter.logging.LogFilter.logExecutableSql(ms) :2
com.alibaba.druid.filter.logging.LogFilter.statementExecuteAfter(ms) :3
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :5
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :5
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :5
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :5
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :5
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :5
com.alibaba.druid.filter.logging.LogFilter.resultSetOpenAfter(ms) :2
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :2
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :2
com.alibaba.druid.filter.FilterAdapter.statement_getResultSet(ms) :2
com.alibaba.druid.filter.FilterEventAdapter.statement_getResultSet(ms) :2
com.alibaba.druid.filter.FilterChainImpl.statement_getResultSet(ms) :2
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.getResultSet(ms) :2
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :2
com.alibaba.druid.filter.FilterChainImpl.resultSetMetaData_getColumnClassName(ms) :2
com.alibaba.druid.filter.FilterAdapter.resultSetMetaData_getColumnClassName(ms) :2
com.alibaba.druid.filter.FilterChainImpl.resultSetMetaData_getColumnClassName(ms) :2
com.alibaba.druid.proxy.jdbc.ResultSetMetaDataProxyImpl.getColumnClassName(ms) :2
com.alibaba.druid.filter.logging.Log4jFilter.resultSetLog(ms) :21
com.alibaba.druid.filter.logging.LogFilter.resultSet_next(ms) :22
